Auctioner,Location,Date,Year,Make,Model,Engine,HP,Transmisson,Ratio,Mileage,Repairs Cost,Transport Costs,Target Price,max bidding price,Sold For,Details,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2023,Peterbilt,579,Cummins X15,450,Automated,,"283,806",,"$3,600.00","$65,000.00","$68,250.00","$76,000.00",,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2024,Kenworth,T-680,Cummins X15,500,Automated,,"319,554",,"$3,600.00","$60,000.00","$63,000.00",,,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2023,Kenworth,T-680,Cummins X15,500,Automated,2.79,"303,231",,"$3,600.00","$57,000.00","$59,850.00",,,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2023,Kenworth,T680,Cummins X15,500,Automated,,"315,437",,"$3,600.00","$65,000.00","$68,250.00",,,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2022,Kenworth,T680,Cummins X15,450,Automated,,"400,159",,"$3,600.00","$38,000.00","$39,900.00","$54,000.00",,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2021,Kenworth,T680,Cummins X15,565,Automated,,"388,270",,"$3,600.00","$40,000.00","$42,000.00","$47,000.00",,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2024,Freightliner,Cascadia 126,Detroit DD15,505,Automated,,"255,369",,"$3,600.00","$80,000.00","$84,000.00",,,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2024,Freightliner,Cascadia 126,Detroit DD15,505,Automated,,"261,145",,"$3,600.00","$102,000.00","$107,100.00","$102,000.00",,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2023,Freightliner,Cascadia 126,Detroit DD15,505,Automated,,"260,087",,"$3,600.00","$88,000.00","$92,400.00","$89,000.00",,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2023,Freightliner,cascadia 126,Detroit DD15,505,Automated,,"338,243",,"$3,600.00","$65,000.00","$68,250.00",,,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2023,Freightliner,Cascadia 126,Detroit,455,Automated,,"422,502",,"$3,600.00","$40,000.00","$42,000.00","$64,000.00",,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2023,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"267,270",,"$3,600.00","$85,000.00","$89,250.00","$88,000.00",,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2022,Freightliner,Cascadia 126,Detroit DD15,505,Automated,2.85,"348,119",,"$3,600.00","$60,000.00","$63,000.00","$75,000.00",,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2022,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"404,988",,"$3,600.00","$58,000.00","$60,900.00",,,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2022,Freightliner,Cascadia 126,Detroit DD15,505,Automated,2.85,"441,046",,"$3,600.00","$45,000.00","$47,250.00","$59,000.00",,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2021,Freightliner,Cascadia 126,Detroit DD15,505,Automated,,"459,648",,"$3,600.00","$43,000.00","$45,150.00",,,
Ritchie Bros,"Los Angeles, CA",8/29/2025,2023,Volvo,VNL64T860,D13,,Automated,,"259,261",,"$3,600.00","$85,000.00","$89,250.00",,,
Ritchie Bros,"Lebanon, TN",9/3/2025,2021,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"391,402",,$800.00,"$48,000","$50,400.00","$53,000.00",,
Ritchie Bros,"Newnan, GA",9/3/2025,2024,Kenworth,T680,Cummins X15,450,Automated,,"156,278",,"$1,350.00","$124,000","$130,200.00","$108,000.00",,
Ritchie Bros,"Newnan, GA",9/3/2025,2024,Kenworth,T680,Cummins X15,450,,,"192,242",,"$1,350.00","$110,000","$115,500.00","$111,000.00",,
Ritchie Bros,"Newnan, GA",9/3/2025,2021,Freightliner,Cascadia 126,Detroit,455,Automated,,"480,214",,"$1,350.00","$38,000","$39,900.00","$46,000.00",,
Ritchie Bros,"Newnan, GA",9/3/2025,2022,Volvo,VNL860,Volvo D13N,455,Automated,,"336,372",,"$1,350.00","$74,000","$77,700.00","$68,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2024,Kenworth,T680,Cummins X15,500,Automated,,"275,826",,"$2,100.00","$99,000","$103,950.00","$96,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2022,Kenworth,T680,Cummins X15,500,Automated,,"393,846",,"$2,100.00","$45,000","$47,250.00","$53,000.00",,
Ritchie Bros,"Davenport, FL",9/5/2025,2023,Freightliner,Cascadia 126,Detroit DD15,455,Automated,,"173,820",,"$2,100.00","$80,000","$84,000.00",,,
Ritchie Bros,"Davenport, FL",9/5/2025,2023,Freightliner,Cascadia 126,Detroit DD15,505,Automated,,"354,446",,"$2,100.00","$70,000","$73,500.00","$75,000.00",,
